cod_ibge;municipio;state;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
1502301;Capitão Poço ;PA;83007;94150;104149;115496;151525;161910;167764;189364;232622;255156;300830;369838;381023;438832;480143;454009;499402
1502400;Castanhal ;PA;498849;579904;759891;860461;986967;1145325;1329184;1450564;1738923;1919931;2349756;2437327;2709860;3207269;3605674;3758255;3911969
1502509;Chaves ;PA;37694;42450;46170;50289;46965;52005;62789;70785;82705;98374;114282;137769;147275;167194;178428;181414;187473
1502608;Colares ;PA;15837;17547;21028;23750;32561;38397;40769;38810;42094;45089;48865;60813;60387;65837;72684;79044;80885
1502707;Conceição do Araguaia ;PA;120537;166507;172628;193029;208193;237788;250050;257802;299034;360801;426733;407473;463952;520879;543396;559420;552662
1502756;Concórdia do Pará ;PA;38081;51304;57344;70495;87790;89606;91075;113693;136685;159552;194200;237892;249405;260414;256931;292381;293657
1502764;Cumaru do Norte ;PA;37634;44722;58282;72088;70251;67752;70769;77689;107977;135871;154775;186290;205328;231360;267417;275438;289017
1502772;Curionópolis ;PA;39333;42157;50489;54946;60598;80403;84848;89052;116295;147615;197767;207669;206385;344416;593083;860118;820223
1502806;Curralinho ;PA;29771;34115;38205;41294;49678;57704;65135;74846;92822;109503;121206;156926;166068;477864;651488;630978;494536
1502855;Curuá ;PA;21454;25590;29082;33436;40126;42441;56820;66154;93835;62791;71662;79091;87319;97742;108894;120943;124520
1502905;Curuçá ;PA;43425;56427;59518;66322;76736;83492;100261;115146;132771;158311;166800;220401;220052;241752;266389;276241;290817
1502939;Dom Eliseu ;PA;145140;200806;227335;217886;270881;244532;268019;286165;311832;402445;372226;421272;476009;567684;656864;679845;685451
1502954;Eldorado do Carajás ;PA;55842;67802;90705;113126;134980;132129;134500;164883;200326;214135;237257;249470;272784;287743;318851;359402;377700
1503002;Faro ;PA;13620;15964;17443;23751;24663;30631;33743;38909;29521;30583;41010;54288;42921;50485;52371;56499;54936
1503044;Floresta do Araguaia ;PA;46301;71904;80420;83739;75089;95827;134315;165812;271036;370526;314642;357379;313863;331441;315412;249651;340215
